Review_Title,Review_Date,Type_of_Traveller,Seat_Type,Route,Date_Flown,Seat_Comfort,Cabin_Staff_Service,Ground_Service,Value_For_Money,Recommended
“appalling service”,26th January 2024,Family Leisure,Business Class,London Heathrow to Miami,December 2023,2.0,1.0,3.0,2,0
“Worst service ever”,23rd January 2024,Solo Leisure,Economy Class,Boston to Düsseldorf via London,January 2024,1.0,2.0,1.0,1,0
"""unprofessional attitude of the pilots""",21st January 2024,Business,Economy Class,Sao Paulo to London Heathrow,January 2024,3.0,4.0,3.0,3,0
“Next time it will be Jet2”,18th January 2024,Couple Leisure,Economy Class,London Heathrow to Lisbon,January 2024,1.0,4.0,3.0,4,0
“become the Ryanair of long-haul travel”,18th January 2024,Family Leisure,Economy Class,London to Hong Kong,January 2024,1.0,3.0,1.0,2,0
“They never help us”,17th January 2024,Family Leisure,Business Class,Dusseldorf (DUS) to Miami (MIA),January 2024,1.0,1.0,1.0,1,0
“uncomfortable seat and disgusting food”,16th January 2024,Family Leisure,Business Class,Cairo to London Heathrow,January 2024,1.0,1.0,1.0,1,0
"""Zero customer service""",15th January 2024,Family Leisure,Economy Class,Dublin  to London Heathrow,January 2024,3.0,3.0,1.0,3,0
"""baggage arrival nearly took 1.5 hours""",12th January 2024,Business,Economy Class,Glasgow to London,January 2024,3.0,4.0,4.0,3,0
"""Overall very satisfied""",12th January 2024,Solo Leisure,Economy Class,Vancouver to London,January 2024,4.0,5.0,5.0,5,1
"""airline is a total disgrace""",9th January 2024,Business,Business Class,Heathrow to Madrid,October 2023,1.0,1.0,1.0,1,0
"""we were pleased with the service""",7th January 2024,Couple Leisure,Business Class,London to New York,November 2023,5.0,5.0,5.0,4,1
"""Gate agent was extremely rude""",3rd January 2024,Family Leisure,Economy Class,Rome to London,January 2024,4.0,5.0,1.0,2,0
"""incredibly heartless and incompetent company""",2nd January 2024,Family Leisure,Business Class,Gatwick to Geneva,December 2023,2.0,1.0,1.0,1,0
"""their service was hit-and-miss""",29th December 2023,Solo Leisure,Business Class,Istanbul to London Heathrow,December 2023,1.0,4.0,2.0,4,1
""" Worse than a low-cost carrier""",29th December 2023,Solo Leisure,Economy Class,London Heathrow to Istanbul,December 2023,3.0,2.0,5.0,2,0
"""Very Poor Business class product""",27th December 2023,Business,Business Class,Gatwick to St Lucia,December 2023,1.0,5.0,1.0,2,0
“if GF - take your own food”,27th December 2023,Couple Leisure,Business Class,Sydney to London Heathrow,December 2023,5.0,3.0,3.0,3,0
“pathetic business class product”,23rd December 2023,Business,Business Class,Lisbon to Houston via London Heathrow,November 2023,1.0,2.0,3.0,1,0
“Staff look tired and overworked”,21st December 2023,Solo Leisure,Premium Economy,Vancouver to London Heathrow,December 2023,4.0,3.0,5.0,2,0
“I couldn’t fault them”,21st December 2023,Family Leisure,Business Class,London Heathrow to Stockholm,December 2023,4.0,5.0,5.0,5,1
“incompetence in customer service”,21st December 2023,Solo Leisure,Economy Class,Indianapolis to Mumbai via London Heathrow,December 2023,1.0,1.0,1.0,1,0
“The most ridiculous thing I've heard”,20th December 2023,Family Leisure,Premium Economy,Cyprus to New York,December 2023,,,1.0,1,0
"""one of the most disgusting onboard meals""",20th December 2023,Solo Leisure,Business Class,Gran Canaria  to London Gatwick,December 2023,3.0,4.0,3.0,5,1
“Does BA pay experts to design these breakfasts”,18th December 2023,Couple Leisure,Business Class,Belfast City to Atlanta via London Heathrow,November 2023,4.0,5.0,5.0,5,1
"""business class seats were abysmal""",17th December 2023,Business,Business Class,London to Portland,December 2023,3.0,3.0,3.0,2,0
"""Worst service/airline ever""",15th December 2023,Solo Leisure,Economy Class,London to Frankfurt,June 2023,1.0,,1.0,1,0
“Much better experience this time around”,14th December 2023,Solo Leisure,Business Class,Cape Town to London Heathrow,December 2023,5.0,4.0,5.0,4,1
"“our compensation rights""",12th December 2023,Couple Leisure,Business Class,Miami to Manchester via Heathrow,December 2023,1.0,3.0,1.0,2,0
"""A380's are showing their age""",12th December 2023,Solo Leisure,Economy Class,Johannesburg to London,December 2023,2.0,4.0,4.0,3,0
