Review_Title,Review_Date,Type_of_Traveller,Seat_Type,Route,Date_Flown,Seat_Comfort,Cabin_Staff_Service,Ground_Service,Value_For_Money,Recommended
"""My food was bad""",12th January 2020,Solo Leisure,Premium Economy,Gatwick to Cancun,January 2020,3.0,1.0,3.0,2,0
"""could not fault one aspect of the service""",11th January 2020,Solo Leisure,Business Class,London Gatwick to Glasgow,January 2020,4.0,5.0,5.0,4,1
"""All in all great service""",11th January 2020,Solo Leisure,Business Class,Rio De Janeiro to London Heathrow,December 2019,5.0,5.0,4.0,5,1
"""disappointed by the service""",11th January 2020,Business,Business Class,Gatwick to Tirana,January 2020,1.0,3.0,4.0,2,1
"""Crew very friendly""",11th January 2020,Couple Leisure,Business Class,Keflavik to London Heathrow,January 2020,3.0,5.0,4.0,5,1
"""my food was inedible""",7th January 2020,Couple Leisure,Economy Class,London Heathrow to Vancouver,January 2020,1.0,3.0,2.0,1,0
"""staff were incredibly rude and lazy""",7th January 2020,Couple Leisure,Economy Class,Tokyo to London Heathrow,January 2020,2.0,1.0,5.0,1,0
"""job's worth high handed attitude""",6th January 2020,Couple Leisure,Business Class,London to Hong Kong,December 2019,3.0,4.0,1.0,3,0
"""They have the worst customer service""",6th January 2020,Family Leisure,Business Class,Los Angeles to London Heathrow,January 2020,1.0,3.0,1.0,1,0
"""BA product is now tired""",5th January 2020,Solo Leisure,Economy Class,Istanbul to London,January 2020,2.0,2.0,1.0,1,0
"""no sandwiches left to purchase""",4th January 2020,Solo Leisure,Economy Class,London to Bucharest,December 2019,2.0,2.0,1.0,1,0
"""another very good flight""",3rd January 2020,Solo Leisure,Business Class,London to Rio De Janeiro,December 2019,5.0,5.0,4.0,5,1
"""don't provide free food and drink""",30th December 2019,Family Leisure,Economy Class,London to Athens,December 2019,3.0,1.0,3.0,4,0
"""way below expected service""",30th December 2019,Solo Leisure,Economy Class,Copenhagen to London,December 2019,2.0,1.0,1.0,1,0
"""onboard charity collection is inappropriate""",29th December 2019,Solo Leisure,Economy Class,Budapest to Billund via London,December 2019,3.0,3.0,4.0,3,1
"""staff were so friendly""",27th December 2019,Solo Leisure,Economy Class,Cape Town to Brussels via London,December 2019,3.0,5.0,4.0,4,1
"""comfort and service superb""",27th December 2019,Solo Leisure,Economy Class,Sydney to Toulouse via Singapore / London,December 2019,5.0,5.0,4.0,5,1
"""good overall experience""",24th December 2019,Solo Leisure,Business Class,Sofia to London,October 2019,3.0,4.0,3.0,4,1
"""cabin crew were very friendly""",24th December 2019,Couple Leisure,Business Class,Edinburgh to Barbados via Gatwick,December 2019,5.0,5.0,5.0,5,1
"""delayed by 20 mins""",22nd December 2019,Solo Leisure,Economy Class,London to Munich,December 2019,2.0,1.0,1.0,1,0
"""middle name was not on her ticket""",21st December 2019,Family Leisure,Economy Class,Hong Kong to London,December 2019,,,,2,0
"""charged 4 times for one bag""",18th December 2019,Couple Leisure,Economy Class,London to Paris,August 2019,2.0,2.0,1.0,1,0
"""cabin manager did not greet me""",18th December 2019,Business,Economy Class,New York to London,December 2019,2.0,2.0,5.0,5,0
"""no proof I paid for them""",16th December 2019,Family Leisure,Premium Economy,Austin to London,October 2019,,,,1,0
"""Awful airline""",15th December 2019,Couple Leisure,Economy Class,Frankfurt to London,December 2019,1.0,1.0,1.0,1,0
""" Flight is again delayed""",14th December 2019,Solo Leisure,Economy Class,London to Glasgow,December 2019,1.0,1.0,1.0,1,0
"""This flight was a delight""",13th December 2019,Business,Business Class,London to San Francisco,December 2019,3.0,5.0,5.0,4,1
"""we had to print out boarding passes""",11th December 2019,Couple Leisure,Economy Class,Heathrow to Belfast,December 2019,2.0,5.0,1.0,3,0
"""You get what you pay for""",10th December 2019,Solo Leisure,Business Class,London to Singapore,October 2019,4.0,5.0,5.0,5,1
"""Awful, rude airline""",8th December 2019,Business,Economy Class,Toulouse to London,November 2019,1.0,1.0,3.0,1,0
"""Seats the same as economy""",8th December 2019,Solo Leisure,Business Class,London Heathrow to Stockholm,November 2019,3.0,5.0,5.0,4,1
"""we had limited recline seats seats""",8th December 2019,Family Leisure,Economy Class,Johannesburg to London,November 2019,1.0,3.0,2.0,1,0
"""Overall a good flight""",8th December 2019,Couple Leisure,Business Class,Johannesburg to London,December 2019,3.0,3.0,3.0,4,1
"""crew are so friendly""",8th December 2019,Solo Leisure,First Class,London Heathrow to Miami,November 2019,4.0,5.0,5.0,5,1
"""excellent with service""",8th December 2019,Solo Leisure,Business Class,Stockholm to London Heathrow,November 2019,3.0,5.0,5.0,4,1
"""cabin crew where fantastic""",8th December 2019,Couple Leisure,Economy Class,London to Sydney via Singapore,November 2019,3.0,4.0,3.0,4,1
"""utter nightmares""",4th December 2019,Couple Leisure,Business Class,London to New York JFK,November 2019,1.0,4.0,1.0,1,0
"""the shortage of staff""",4th December 2019,Solo Leisure,Business Class,Gatwick to Bridgetown,December 2019,3.0,2.0,3.0,2,0
"""lacks personalized attention""",2nd December 2019,Business,Business Class,Brussels to Bangkok via London,November 2019,4.0,2.0,4.0,3,0
"""missed my connecting flight""",28th November 2019,Business,Economy Class,San Francisco to Oslo via London,November 2019,1.0,2.0,1.0,1,0
"""said that I need to check my baggage""",27th November 2019,Couple Leisure,Economy Class,Los Angeles to Berlin via London,November 2019,3.0,1.0,1.0,1,0
"""inflight service was distinctly average""",26th November 2019,Couple Leisure,Business Class,London to Johannesburg,November 2019,3.0,3.0,3.0,3,1
"""delayed due to maintenance""",25th November 2019,Business,Premium Economy,London to Bangalore,November 2019,4.0,4.0,2.0,2,0
"""cabin crew were so kind""",24th November 2019,Solo Leisure,Economy Class,London to Sydney via Singapore,November 2019,5.0,5.0,5.0,5,1
"""Will never fly BA again""",24th November 2019,Solo Leisure,Economy Class,Lisbon to London,November 2019,1.0,,1.0,1,0
"""very disappointed with the service they provide""",20th November 2019,Solo Leisure,Economy Class,London Heathrow to Glasgow,November 2019,4.0,3.0,4.0,2,0
"""Surprisingly good flight""",19th November 2019,Family Leisure,Economy Class,doha to londonDoha to London,November 2019,5.0,5.0,5.0,5,1
"""plane was old and cramped""",18th November 2019,Family Leisure,Economy Class,London to Buenos Aires,November 2019,2.0,3.0,3.0,2,0
"""Movie selection below average""",18th November 2019,Couple Leisure,Economy Class,San Francisco to London,November 2019,4.0,2.0,3.0,3,0
"""What a disappointment of an airline""",18th November 2019,Business,Business Class,Sydney to Singapore,November 2019,1.0,1.0,2.0,1,0
"""I begrudge flying with them""",18th November 2019,Family Leisure,Economy Class,London to Mauritius,November 2019,1.0,4.0,1.0,2,0
"""excellent premium host service""",17th November 2019,Business,Business Class,Los Angeles to Amsterdam via London,November 2019,5.0,5.0,5.0,5,1
"""a remarkably bad experience""",16th November 2019,Solo Leisure,Economy Class,London to Vancouver,November 2019,2.0,2.0,2.0,3,0
"""It used to be a good airline""",16th November 2019,Couple Leisure,Economy Class,New York to Paris via London,November 2019,1.0,1.0,1.0,1,0
"""left a great deal to be desired""",13th November 2019,Couple Leisure,Business Class,London Heathrow to Lisbon,November 2019,4.0,1.0,5.0,2,0
"""Food was fairly good both ways""",13th November 2019,Solo Leisure,Economy Class,London to Boston,November 2019,4.0,4.0,4.0,3,1
"""a very friendly and welcoming crew""",12th November 2019,Business,Economy Class,Tirana to London,November 2019,4.0,5.0,5.0,5,1
"""Great service on this flight""",11th November 2019,Solo Leisure,Economy Class,Gatwick to St Lucia,November 2019,5.0,5.0,5.0,5,1
"""They were friendly, welcoming""",11th November 2019,Family Leisure,Economy Class,London to Singapore,November 2019,4.0,5.0,5.0,4,1
"""find an alternative airline""",10th November 2019,Solo Leisure,Economy Class,London to San Francisco,November 2019,1.0,4.0,4.0,2,0
"""pleased with all aspects""",10th November 2019,Couple Leisure,Business Class,Gatwick to Venice,September 2019,4.0,5.0,5.0,4,1
"""still awaiting a refund""",7th November 2019,Couple Leisure,Economy Class,Bordeaux to Gatwick,September 2019,,,,1,0
"""loved every minute of the flight""",2nd November 2019,Couple Leisure,Business Class,Seychelles to London,October 2019,5.0,5.0,4.0,5,1
"""don’t trust BA with your loved ones""",2nd November 2019,Couple Leisure,Economy Class,London to Belfast,October 2019,3.0,2.0,1.0,2,0
"""downgraded to premium economy""",31st October 2019,Business,Premium Economy,London to Cape Town,October 2019,,,1.0,1,0
"""seems they were understaffed""",31st October 2019,Couple Leisure,Business Class,San Jose to London,October 2019,2.0,4.0,3.0,2,0
"""offering an ultra low cost service""",31st October 2019,Solo Leisure,Economy Class,London Heathrow to Edinburgh,October 2019,1.0,3.0,3.0,3,1
"""Food was fine and service friendly""",30th October 2019,Family Leisure,Economy Class,Gatwick to Barbados,October 2019,4.0,4.0,5.0,5,1
"""Service was fantastic""",30th October 2019,Couple Leisure,Economy Class,Toronto to London,October 2019,3.0,5.0,5.0,5,1
"""check in counter was closed""",29th October 2019,Solo Leisure,Economy Class,Jeddah to London,October 2019,1.0,1.0,1.0,1,0
"""no free food nor drink""",29th October 2019,Business,Economy Class,Zurich to London,October 2019,1.0,1.0,2.0,3,0
"""we had an excellent flight""",29th October 2019,Couple Leisure,Business Class,San Francisco to London,October 2019,5.0,5.0,5.0,4,1
"""very happy with this short flight""",27th October 2019,Solo Leisure,Business Class,London to Belfast,October 2019,5.0,5.0,5.0,5,1
"""Worst customer experience""",27th October 2019,Couple Leisure,Economy Class,London Gatwick to Salzburg,April 2019,2.0,3.0,2.0,2,0
"""three hours to get rebooking""",26th October 2019,Business,Economy Class,Frankfurt to London,October 2019,1.0,4.0,1.0,1,0
"""an awesome experience""",25th October 2019,Business,Economy Class,Hyderabad to San Francisco via London,October 2019,3.0,5.0,3.0,3,0
"""seat are surprisingly comfortable""",25th October 2019,Business,Business Class,Vancouver to London,October 2019,4.0,1.0,3.0,2,0
"""clueless staff full of attitude""",25th October 2019,Solo Leisure,Economy Class,London to Malaga,October 2019,1.0,1.0,1.0,1,0
"""Extremely poor communication""",24th October 2019,Business,Economy Class,Brussels to London,October 2019,4.0,4.0,1.0,2,0
"""The seat was uncomfortable""",20th October 2019,Couple Leisure,Premium Economy,London to Singapore,October 2019,1.0,1.0,3.0,1,0
"""did not mention it was normal coffee""",20th October 2019,Solo Leisure,Premium Economy,Kuala Lumpur to Glasgow via London,October 2019,5.0,1.0,2.0,1,0
"""crew were very attentive""",20th October 2019,Couple Leisure,Business Class,London Heathrow to Seychelles,October 2019,5.0,5.0,5.0,5,1
"""45 minutes before my bag came""",19th October 2019,Couple Leisure,Economy Class,Edinburgh to London Heathrow,October 2019,3.0,3.0,1.0,1,0
"""comfortable seats""",16th October 2019,Couple Leisure,Economy Class,Amman to London,September 2019,4.0,4.0,4.0,4,1
"""glorified budget airline""",16th October 2019,Business,Economy Class,London to Athens,October 2019,3.0,2.0,4.0,2,0
"""easily the most cramped space I have ever flown""",16th October 2019,Couple Leisure,Economy Class,New York JFK to London,October 2019,1.0,2.0,1.0,1,0
"""Seats were uncomfortable""",15th October 2019,Couple Leisure,Premium Economy,Buenos Aires to London Heathrow,September 2019,1.0,3.0,4.0,1,0
"""It’s almost like a low cost""",13th October 2019,Solo Leisure,Economy Class,Mexico City to Barcelona via London Heathrow,September 2019,5.0,4.0,4.0,3,1
"""Couldn’t ask for more""",12th October 2019,Couple Leisure,Economy Class,Bari to London Gatwick,September 2019,4.0,5.0,4.0,5,1
"""zero feeling of comfort""",12th October 2019,Couple Leisure,Premium Economy,Abu Dhabi to London Heathrow,September 2019,1.0,3.0,4.0,1,0
"""they were really good""",11th October 2019,Couple Leisure,Economy Class,London Heathrow to Abu Dhabi,October 2019,5.0,5.0,5.0,4,1
"""cancelled and rescheduled""",11th October 2019,Couple Leisure,Economy Class,Johannesburg to Amsterdam via London,September 2019,4.0,5.0,1.0,2,0
"""the experience was outstanding""",9th October 2019,Business,Business Class,Dubai to London Heathrow,September 2019,5.0,5.0,5.0,4,1
"""first and definitely last time""",9th October 2019,Solo Leisure,Economy Class,Istanbul to New York via London,October 2019,3.0,3.0,1.0,1,0
"""appreciate your excellent service""",9th October 2019,Couple Leisure,Economy Class,Rome to London Heathrow,October 2019,2.0,5.0,5.0,5,1
"""one of the worst experiences""",9th October 2019,Business,Economy Class,London to Athens,October 2019,1.0,3.0,1.0,1,0
"""seats on the flight were comfortable""",8th October 2019,Solo Leisure,Economy Class,London Heathrow to Newcastle,October 2019,4.0,4.0,5.0,4,1
"""seats are incredibly uncomfortable""",8th October 2019,Solo Leisure,Economy Class,Calgary to Gothenburg via London,September 2019,1.0,4.0,4.0,3,1
"""such a pleasant experience""",7th October 2019,Family Leisure,Economy Class,Kuala Lumpur to London,October 2019,5.0,5.0,5.0,5,1
"""Another pleasant flight""",6th October 2019,Couple Leisure,Business Class,Austin to London,October 2019,3.0,3.0,3.0,4,1
"""Better than I was expecting""",6th October 2019,Couple Leisure,Premium Economy,London to Kuala Lumpur,August 2019,5.0,4.0,4.0,4,1
"""zero customer service""",3rd October 2019,Couple Leisure,Premium Economy,Newark to Madrid via London,October 2019,3.0,3.0,3.0,3,0
"""there is no lounge at Kos""",2nd October 2019,Couple Leisure,Business Class,Kos to Gatwick,October 2019,4.0,3.0,1.0,3,0
"""Club Europe had no advantages""",2nd October 2019,Business,Business Class,Gatwick to Alicante,September 2019,5.0,5.0,2.0,5,1
"""Very enjoyable flight""",1st October 2019,Solo Leisure,Premium Economy,Vancouver to London,September 2019,5.0,5.0,4.0,4,1
"""No room to move""",30th September 2019,Couple Leisure,Economy Class,Gatwick to Alicante,September 2019,1.0,3.0,3.0,1,0
"""staff wonderful. cheerful, efficient""",28th September 2019,Couple Leisure,Business Class,London Heathrow to Austin,September 2019,4.0,5.0,3.0,5,1
"""it was the most enjoyable flight""",28th September 2019,Couple Leisure,Business Class,London Heathrow to Austin,September 2019,4.0,4.0,4.0,4,1
"""I never received the refund""",27th September 2019,Couple Leisure,Economy Class,London Gatwick to Jersey,September 2019,,,,1,0
"""not too bad, all in all""",26th September 2019,Couple Leisure,Business Class,Cephalonia to London,September 2019,3.0,4.0,3.0,3,1
"""Delays after delays""",26th September 2019,Family Leisure,Economy Class,Chicago to Zurich via London,August 2019,1.0,4.0,1.0,3,0
"""a great flight""",23rd September 2019,Solo Leisure,Business Class,Glasgow to London,September 2019,4.0,5.0,5.0,5,1
"""the value was very good""",21st September 2019,Solo Leisure,Economy Class,London Heathrow to Berlin Tegel,September 2019,5.0,5.0,3.0,5,1
"""Abysmal customer services""",19th September 2019,Couple Leisure,Business Class,London to Milan,September 2019,1.0,1.0,1.0,1,0
"""no different to a budget airline""",19th September 2019,Business,Economy Class,London to Geneva,September 2019,4.0,2.0,4.0,2,0
"""wanted to change our departure date""",18th September 2019,Couple Leisure,Business Class,Los Angeles to Istanbul via London,September 2019,2.0,4.0,1.0,1,0
"""a nightmare""",17th September 2019,Family Leisure,Premium Economy,Phoenix to Tel Aviv via London,August 2019,3.0,5.0,1.0,1,0
"""lacklustre at best""",16th September 2019,Couple Leisure,Business Class,London to Kefalonia,September 2019,3.0,2.0,3.0,3,0
"""don’t know which airline is at fault""",16th September 2019,Solo Leisure,Economy Class,London to Dublin,September 2019,2.0,5.0,1.0,3,0
"""decline in the service level""",15th September 2019,Couple Leisure,Business Class,Hong Kong to London,September 2019,3.0,4.0,1.0,1,0
"""suitcase was 4cm oversize""",15th September 2019,Couple Leisure,Economy Class,Gatwick to Seville,September 2019,3.0,3.0,1.0,1,0
"""Full credit to the crew""",14th September 2019,Business,Economy Class,London Heathrow to Abuja Nigeria,September 2019,3.0,4.0,1.0,2,0
"""What an awful plane""",13th September 2019,Solo Leisure,Economy Class,London to Bangkok,September 2019,2.0,3.0,4.0,3,0
"""inflight service was top notch""",12th September 2019,Couple Leisure,Business Class,Belfast to San Francisco via London,August 2019,5.0,5.0,5.0,5,1
"""Still recommended by me""",11th September 2019,Couple Leisure,Economy Class,London to Gothenburg,September 2019,4.0,4.0,4.0,4,1
"""a waste of money""",10th September 2019,Family Leisure,Business Class,Orlando to Gatwick,July 2019,1.0,1.0,1.0,1,0
"""welcome wasn’t especially friendly""",10th September 2019,Solo Leisure,Business Class,Mahe to Stockholm via London,September 2019,1.0,2.0,1.0,2,0
"""been upgraded to Club World""",8th September 2019,Couple Leisure,Business Class,Glasgow to Tampa via Gatwick,September 2019,4.0,5.0,5.0,4,1
"""standards on BA have plummeted""",7th September 2019,Family Leisure,Economy Class,Orlando to Gatwick,September 2019,2.0,3.0,3.0,1,0
"""Good value flight""",6th September 2019,Family Leisure,Economy Class,London to Abu Dhabi,August 2019,3.0,4.0,4.0,4,1
"""not worth the money""",6th September 2019,Couple Leisure,Business Class,London to St Petersburgh,August 2019,1.0,3.0,5.0,1,0
